natural view,Fort Rosecrans Cemetery,Dodger Stadium,El Capitan,Monterey Bay,Glacier Point,Muir Woods National Monument,Disney California Adventure Park,Griffith Park,Living Desert Zoo & Gardens,Dante's View,Venice Beach Boardwalk,Santa Monica Bay,Bridalveil Falls,Yosemite Falls,Cabrillo National Monument,Point Lobos,Mission Beach,Union Square,Badwater,Indian Canyons,Old Point Loma Lighthouse,Castello di Amorosa,General Sherman Tree,Armstrong Redwood State Reserve,Palm Springs Aerial Tramway,Moonstone Beach,Calico Ghost Town,Presidio of San Francisco,Sundial Bridge,California State Railroad Museum,Morro Rock,Stearns Wharf,Winchester Mystery House,Asian Art Museum,Giant Forest,"The Huntington Library, Art Collections and Botanical Gardens",Lands End,Glass Beach,San Francisco Bay,Tunnel View,Stanford University,Marin Headlands,17-Mile Drive,State Street,La Jolla Shores Park,Birch Aquarium at Scripps,Yuma Territorial Prison State Historic Park,Golden Gate Park,Irvine Spectrum Center,Children's Pool,Point Loma,La Jolla Cove,Old Town San Diego,Zabriskie Point,Aquarium of the Bay,Julia Pfeiffer Burns State Park,South Carlsbad State Beach,Alamo Square,California State Capitol Museum,Aquarium of the Pacific,Artist's Drive,Alcatraz Island,Monterey Bay Aquarium,Carmel River State Beach,Santa Monica State Beach,Legion of Honor,Balboa Park,Old Town San Diego State Historic Park,Santa Barbara County Courthouse,Mendocino Coast Botanical Gardens,West Cliff Drive,Pacific Coast Highway,Elephant Seal Rookery,Six Flags Magic Mountain,Yosemite Valley,Crystal Cove State Park,Torrey Pines State Natural Reserve,Jedediah Smith Redwoods State Park,Venice Canals Walkway,Newport Beach,Seventeen Mile Drive,SeaWorld,Rodeo Drive,Venice Beach,Vernal Fall,Pfeiffer Beach,Half Dome,Moro Rock,Old Town Temecula,Seaport Village,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
museum,Japanese Tea Garden,Staples Center,Fisherman's Wharf,Little Italy,V. Sattui Winery,Monterey Bay,Mission San Juan Capistrano,Balboa Island,The Broad,Griffith Park,Heisler Park,Living Desert Zoo & Gardens,Old Fisherman's Wharf,Hollywood Bowl Museum,Chinatown,Universal CityWalk Hollywood,Cable Cars,Santa Cruz Beach Boardwalk,Sunset Cliffs Natural Park,Cabrillo National Monument,Point Lobos,Union Square,Los Angeles County Museum of Art,Indian Canyons,Old Point Loma Lighthouse,Ferry Building Marketplace,General Sherman Tree,USS Midway Museum,Palm Springs Aerial Tramway,Palm Springs Art Museum,Walt Disney Concert Hall,Calico Ghost Town,Cable Car Museum,Presidio of San Francisco,Sundial Bridge,California State Railroad Museum,Morro Rock,Stearns Wharf,California Academy of Sciences,Winchester Mystery House,Asian Art Museum,Giant Forest,Petco Park,"The Huntington Library, Art Collections and Botanical Gardens",Lands End,VillageFest,Hollywood Boulevard,San Francisco Bay,Stanford University,State Street,Palm Springs Air Museum,de Young Museum,Madame Tussauds Hollywood,The Getty Villa,Birch Aquarium at Scripps,Musee Mecanique,California Science Center,Haight-Ashbury,Yuma Territorial Prison State Historic Park,Battleship USS Iowa BB-61,Petersen Automotive Museum,Golden Gate Park,Ronald Reagan Presidential Library and Museum,Balboa Island Ferry,Walt Disney Family Museum,Children's Pool,Point Loma,Knott's Berry Farm,La Brea Tar Pits and Museum,Hollywood,Old Town San Diego,Aquarium of the Bay,San Francisco Museum of Modern Art (SFMOMA),Mt. Soledad National Veterans Memorial,Maritime Museum of San Diego,California State Capitol Museum,Aquarium of the Pacific,Norton Simon Museum,Old Sacramento,Pier 39,Hearst Castle,Alcatraz Island,The Getty Center,Monterey Bay Aquarium,Palace of Fine Arts Theatre,Legion of Honor,Balboa Park,Griffith Observatory,Old Town San Diego State Historic Park,Santa Barbara County Courthouse,Cannery Row,West Cliff Drive,Hollywood Walk of Fame,Manhattan Beach,Pacific Coast Highway,The Queen Mary,Crystal Cove State Park,Torrey Pines State Natural Reserve,Union Station,Natural History Museum of Los Angeles County,Olvera Street,Old Mission Santa Barbara,Exploratorium,Citadel Outlets,Rodeo Drive,Moro Rock,The Grove,Old Town Temecula,Seaport Village,Coit Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
theater,Walt Disney Concert Hall,Calico Ghost Town,Balboa Park,Griffith Observatory,Oceanside Pier,Staples Center,Old Town San Diego State Historic Park,Santa Barbara County Courthouse,Sundial Bridge,California State Railroad Museum,Irvine Spectrum Center,Glacier Point,The Broad,Disney California Adventure Park,Griffith Park,Stearns Wharf,California Academy of Sciences,Hollywood Walk of Fame,Winchester Mystery House,Heisler Park,Pacific Coast Highway,Asian Art Museum,Walt Disney Family Museum,Six Flags Discovery Kingdom,Hollywood Bowl Museum,The Queen Mary,Huntington Beach Pier,Hollywood Boulevard,Hollywood,Santa Monica Bay,Universal CityWalk Hollywood,Universal Studios Hollywood,Natural History Museum of Los Angeles County,State Street,Downtown Disney,Third Street Promenade,Palm Springs Air Museum,California State Capitol Museum,Aquarium of the Pacific,SeaWorld,Cabrillo National Monument,Norton Simon Museum,Union Square,de Young Museum,Los Angeles County Museum of Art,Hearst Castle,Monterey Bay Aquarium,Old Point Loma Lighthouse,The Getty Villa,Palace of Fine Arts Theatre,The Grove,Hollywood Sign,California Science Center,USS Midway Museum,Old Town Temecula,Armstrong Redwood State Reserve,Haight-Ashbury,Legion of Honor,Palm Springs Aerial Tramway,Yuma Territorial Prison State Historic Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gardens,Walt Disney Concert Hall,Presidio of San Francisco,Japanese Tea Garden,Balboa Park,Golden Gate Park,Grace Cathedral,Little Italy,Old Town San Diego State Historic Park,Santa Barbara County Courthouse,V. Sattui Winery,Sundial Bridge,Palm Springs Art Museum,Mission San Juan Capistrano,Disneyland Park,Balboa Island,Ronald Reagan Presidential Library and Museum,Disney California Adventure Park,Mendocino Coast Botanical Gardens,California Academy of Sciences,Manhattan Beach,Winchester Mystery House,Heisler Park,Pacific Coast Highway,Domaine Carneros,Petco Park,Living Desert Zoo & Gardens,"The Huntington Library, Art Collections and Botanical Gardens",Six Flags Discovery Kingdom,Lands End,Venice Beach Boardwalk,Crystal Cove State Park,Robert Mondavi Winery,San Francisco Museum of Modern Art (SFMOMA),Coronado Island,Union Station,Venice Canals Walkway,Alamo Square,Santa Barbara Zoo,Natural History Museum of Los Angeles County,Stanford University,State Street,Old Mission Santa Barbara,California State Capitol Museum,SeaWorld,Coronado Bridge,Norton Simon Museum,Union Square,de Young Museum,Golden Gate Bridge,Los Angeles County Museum of Art,Hearst Castle,Alcatraz Island,The Getty Center,Lombard Street,San Diego Zoo,Old Point Loma Lighthouse,The Getty Villa,Pfeiffer Beach,Palace of Fine Arts Theatre,The Grove,Sterling Vineyards,California Science Center,San Diego Zoo Safari Park,Santa Monica State Beach,Coit Tower,AT&T Park,LEGOLAND California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biking,Presidio of San Francisco,Japanese Tea Garden,Fort Rosecrans Cemetery,Staples Center,Golden Gate Park,26-Mile Bike Path,Santa Cruz Wharf,Fisherman's Wharf,Oceanside Pier,Sundial Bridge,Redondo Beach Pier,Monterey Bay,Pacific Beach,Balboa Island,Cannery Row,Morro Rock,West Cliff Drive,Stearns Wharf,Balboa Island Ferry,Griffith Park,Manhattan Beach,Pacific Coast Highway,Children's Pool,Old Fisherman's Wharf,Yosemite Valley,Huntington Beach Pier,Venice Beach Boardwalk,Crystal Cove State Park,Glass Beach,Crissy Field,San Francisco Bay,Torrey Pines State Natural Reserve,Santa Monica Bay,South Carlsbad State Beach,Coronado Island,San Francisco Bay Bridge,Mt. Soledad National Veterans Memorial,Venice Canals Walkway,Stanford University,Marin Headlands,Twin Peaks,17-Mile Drive,State Street,Jedediah Smith Redwoods State Park,Newport Beach,Seventeen Mile Drive,Cable Cars,Sunset Cliffs Natural Park,Coronado Bridge,Cabrillo National Monument,Mission Beach,Union Square,Old Sacramento,Golden Gate Bridge,Santa Monica Pier,Venice Beach,Point Lobos,Pfeiffer Beach,Old Point Loma Lighthouse,Ferry Building Marketplace,Half Dome,Palace of Fine Arts Theatre,California Science Center,Armstrong Redwood State Reserve,Santa Monica State Beach,Pismo Pier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beach ,Oceanside Pier,Santa Cruz Wharf,Fisherman's Wharf,Little Italy,El Capitan,Monterey Bay,Balboa Island,Muir Woods National Monument,Disney California Adventure Park,Griffith Park,Torrey Pines Gliderport,Heisler Park,Old Fisherman's Wharf,Venice Beach Boardwalk,Crissy Field,Santa Monica Bay,Santa Barbara Zoo,Santa Cruz Beach Boardwalk,Sunset Cliffs Natural Park,Cabrillo National Monument,Point Lobos,Mission Beach,Old Point Loma Lighthouse,Moonstone Beach,AT&T Park,Presidio of San Francisco,26-Mile Bike Path,Pacific Beach,Morro Rock,Stearns Wharf,"The Huntington Library, Art Collections and Botanical Gardens",Lands End,Huntington Beach Pier,Hollywood Boulevard,Glass Beach,San Francisco Bay,Coronado Island,Stanford University,Marin Headlands,17-Mile Drive,State Street,La Jolla Shores Park,Coronado Bridge,Santa Monica Pier,The Getty Villa,Birch Aquarium at Scripps,California Science Center,Golden Gate Park,Ronald Reagan Presidential Library and Museum,Balboa Island Ferry,Children's Pool,Point Loma,La Jolla Cove,South Carlsbad State Beach,Julia Pfeiffer Burns State Park,Mt. Soledad National Veterans Memorial,Third Street Promenade,Aquarium of the Pacific,Monterey Bay Aquarium,Palace of Fine Arts Theatre,Carmel River State Beach,Santa Monica State Beach,Pismo Pier,Balboa Park,Bixby Bridge,Old Town San Diego State Historic Park,Santa Barbara County Courthouse,Redondo Beach Pier,Cannery Row,West Cliff Drive,Manhattan Beach,Pacific Coast Highway,Elephant Seal Rookery,Ghirardelli Square,The Queen Mary,Crystal Cove State Park,Torrey Pines State Natural Reserve,Jedediah Smith Redwoods State Park,Venice Canals Walkway,Old Mission Santa Barbara,Newport Beach,Seventeen Mile Drive,SeaWorld,Golden Gate Bridge,Venice Beach,Pfeiffer Beach,Moro Rock,Seaport Village,Coit Tower,LEGOLAND California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vintage aircraft,USS Midway Museum,Palm Springs Air Museum,Palm Springs Art Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concert,Walt Disney Concert Hall,Presidio of San Francisco,Balboa Park,Griffith Observatory,Petersen Automotive Museum,Golden Gate Park,Staples Center,Grace Cathedral,Dodger Stadium,Battleship USS Iowa BB-61,Santa Barbara County Courthouse,Redondo Beach Pier,Mission San Juan Capistrano,Irvine Spectrum Center,The Broad,Angel Stadium of Anaheim,Griffith Park,Stearns Wharf,Heisler Park,Asian Art Museum,Petco Park,"The Huntington Library, Art Collections and Botanical Gardens",Point Loma,Six Flags Discovery Kingdom,Hollywood Bowl Museum,Yosemite Valley,La Jolla Cove,Robert Mondavi Winery,South Carlsbad State Beach,Universal CityWalk Hollywood,Coronado Island,Stanford University,Natural History Museum of Los Angeles County,Olvera Street,Downtown Disney,Maritime Museum of San Diego,Aquarium of the Pacific,La Jolla Shores Park,Santa Cruz Beach Boardwalk,Santa Monica Pier,Norton Simon Museum,de Young Museum,Los Angeles County Museum of Art,The Getty Center,The Gondola at Heavenly,The Getty Villa,Palace of Fine Arts Theatre,Birch Aquarium at Scripps,Old Town Temecula,Santa Monica State Beach,Legion of Honor,AT&T Park,Pismo Pier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surfing ,Fort Rosecrans Cemetery,Bixby Bridge,Oceanside Pier,Santa Cruz Wharf,El Capitan,Redondo Beach Pier,Monterey Bay,Pacific Beach,Glacier Point,Morro Rock,West Cliff Drive,Griffith Park,California Academy of Sciences,Torrey Pines Gliderport,Manhattan Beach,Heisler Park,Balboa Island Ferry,Mendocino Coast Botanical Gardens,Pacific Coast Highway,Children's Pool,Point Loma,Lands End,Huntington Beach Pier,Crystal Cove State Park,La Jolla Cove,Venice Beach Boardwalk,Glass Beach,Santa Monica Bay,Crissy Field,Torrey Pines State Natural Reserve,Bridalveil Falls,South Carlsbad State Beach,Coronado Island,Julia Pfeiffer Burns State Park,Stanford University,Marin Headlands,17-Mile Drive,Exploratorium,Newport Beach,Yosemite Falls,Seventeen Mile Drive,La Jolla Shores Park,SeaWorld,Sunset Cliffs Natural Park,Santa Cruz Beach Boardwalk,Santa Monica Pier,Cabrillo National Monument,Mission Beach,Point Lobos,Venice Beach,Pfeiffer Beach,Carmel River State Beach,Seaport Village,Santa Monica State Beach,Moonstone Beach,Pismo Pier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
car rental,Presidio of San Francisco,Golden Gate Park,Muir Woods National Monument,Manhattan Beach,Pacific Coast Highway,Point Loma,Hollywood,Coronado Island,Union Station,Julia Pfeiffer Burns State Park,Jedediah Smith Redwoods State Park,Alamo Square,Downtown Disney,Palm Springs Air Museum,Artist's Drive,Coronado Bridge,Cabrillo National Monument,Golden Gate Bridge,Venice Beach,Painted Ladies,Lombard Street,Palace of Fine Arts Theatre,Carmel River State Beach,USS Midway Museum,Haight-Ashbury,Legion of Honor,Santa Monica State Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peaceful serene,Mendocino Coast Botanical Gardens,Monterey Bay,San Diego Zoo Safari Park,Mission San Juan Capistrano,Armstrong Redwood State Reserve,Crystal Cove State Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highly recommended,Fort Rosecrans Cemetery,Japanese Tea Garden,Oceanside Pier,Staples Center,Grace Cathedral,Little Italy,Santa Cruz Wharf,V. Sattui Winery,Dodger Stadium,Monterey Bay,Mission San Juan Capistrano,Balboa Island,Glacier Point,The Broad,Disney California Adventure Park,Muir Woods National Monument,Angel Stadium of Anaheim,Griffith Park,Torrey Pines Gliderport,Living Desert Zoo & Gardens,Old Fisherman's Wharf,Hollywood Bowl Museum,Dante's View,Venice Beach Boardwalk,Crissy Field,Santa Monica Bay,Bridalveil Falls,Chinatown,Robert Mondavi Winery,Universal CityWalk Hollywood,San Francisco Bay Bridge,Santa Barbara Zoo,Yosemite Falls,Cable Cars,Santa Cruz Beach Boardwalk,Sunset Cliffs Natural Park,Cabrillo National Monument,Point Lobos,Mission Beach,Union Square,Los Angeles County Museum of Art,Badwater,Indian Canyons,San Diego Zoo,Old Point Loma Lighthouse,Ferry Building Marketplace,Castello di Amorosa,General Sherman Tree,USS Midway Museum,Armstrong Redwood State Reserve,Palm Springs Aerial Tramway,Moonstone Beach,Palm Springs Art Museum,AT&T Park,Walt Disney Concert Hall,Calico Ghost Town,Cable Car Museum,Presidio of San Francisco,26-Mile Bike Path,Sundial Bridge,California State Railroad Museum,Pacific Beach,Morro Rock,California Academy of Sciences,Winchester Mystery House,Asian Art Museum,Giant Forest,Domaine Carneros,Petco Park,"The Huntington Library, Art Collections and Botanical Gardens",Six Flags Discovery Kingdom,Lands End,VillageFest,Huntington Beach Pier,Hollywood Boulevard,Glass Beach,San Francisco Bay,Safari West,Tunnel View,Coronado Island,Stanford University,Marin Headlands,17-Mile Drive,State Street,Runyon Canyon Park,Palm Springs Air Museum,La Jolla Shores Park,Coronado Bridge,Santa Monica Pier,de Young Museum,Madame Tussauds Hollywood,Painted Ladies,The Getty Villa,Birch Aquarium at Scripps,Musee Mecanique,Sterling Vineyards,California Science Center,San Diego Zoo Safari Park,Yuma Territorial Prison State Historic Park,Battleship USS Iowa BB-61,Petersen Automotive Museum,Golden Gate Park,Disneyland Park,Irvine Spectrum Center,Ronald Reagan Presidential Library and Museum,Balboa Island Ferry,Walt Disney Family Museum,Children's Pool,Point Loma,Knott's Berry Farm,La Brea Tar Pits and Museum,La Jolla Cove,Hollywood,Old Town San Diego,Aquarium of the Bay,San Francisco Museum of Modern Art (SFMOMA),South Carlsbad State Beach,Zabriskie Point,Julia Pfeiffer Burns State Park,Mt. Soledad National Veterans Memorial,Alamo Square,Universal Studios Hollywood,Third Street Promenade,Maritime Museum of San Diego,California State Capitol Museum,Aquarium of the Pacific,Artist's Drive,Norton Simon Museum,Old Sacramento,Pier 39,Hearst Castle,Alcatraz Island,The Getty Center,Lombard Street,Monterey Bay Aquarium,Palace of Fine Arts Theatre,Hollywood Sign,Carmel River State Beach,Santa Monica State Beach,Legion of Honor,Pismo Pier,Balboa Park,Griffith Observatory,Bixby Bridge,Old Town San Diego State Historic Park,Santa Barbara County Courthouse,West Cliff Drive,Hollywood Walk of Fame,Manhattan Beach,Mendocino Coast Botanical Gardens,Pacific Coast Highway,Elephant Seal Rookery,Ghirardelli Square,Six Flags Magic Mountain,Yosemite Valley,The Queen Mary,Crystal Cove State Park,Torrey Pines State Natural Reserve,Union Station,Jedediah Smith Redwoods State Park,Venice Canals Walkway,Natural History Museum of Los Angeles County,Twin Peaks,Old Mission Santa Barbara,Exploratorium,Newport Beach,Citadel Outlets,Seventeen Mile Drive,SeaWorld,Golden Gate Bridge,Rodeo Drive,Vernal Fall,Pfeiffer Beach,The Gondola at Heavenly,Half Dome,Moro Rock,The Grove,Old Town Temecula,Seaport Village,Coit Tower,LEGOLAND California
arts,Fort Rosecrans Cemetery,Japanese Tea Garden,Oceanside Pier,Staples Center,Grace Cathedral,Fisherman's Wharf,Little Italy,Dodger Stadium,El Capitan,Monterey Bay,Mission San Juan Capistrano,Glacier Point,The Broad,Disney California Adventure Park,Muir Woods National Monument,Griffith Park,Torrey Pines Gliderport,Heisler Park,Living Desert Zoo & Gardens,Old Fisherman's Wharf,Hollywood Bowl Museum,Dante's View,Venice Beach Boardwalk,Crissy Field,Santa Monica Bay,Bridalveil Falls,Chinatown,Robert Mondavi Winery,Universal CityWalk Hollywood,Santa Barbara Zoo,Yosemite Falls,Cable Cars,Santa Cruz Beach Boardwalk,Sunset Cliffs Natural Park,Cabrillo National Monument,Point Lobos,Mission Beach,Union Square,Los Angeles County Museum of Art,Badwater,Indian Canyons,San Diego Zoo,Ferry Building Marketplace,Castello di Amorosa,General Sherman Tree,USS Midway Museum,Armstrong Redwood State Reserve,Palm Springs Aerial Tramway,Palm Springs Art Museum,AT&T Park,Walt Disney Concert Hall,Calico Ghost Town,Cable Car Museum,Presidio of San Francisco,26-Mile Bike Path,Sundial Bridge,California State Railroad Museum,Pacific Beach,Morro Rock,Stearns Wharf,California Academy of Sciences,Winchester Mystery House,Asian Art Museum,Giant Forest,Petco Park,"The Huntington Library, Art Collections and Botanical Gardens",Six Flags Discovery Kingdom,Lands End,VillageFest,Hollywood Boulevard,Glass Beach,San Francisco Bay,Safari West,Tunnel View,Coronado Island,Stanford University,Marin Headlands,17-Mile Drive,State Street,Runyon Canyon Park,Palm Springs Air Museum,La Jolla Shores Park,Coronado Bridge,Santa Monica Pier,de Young Museum,Painted Ladies,The Getty Villa,Birch Aquarium at Scripps,Musee Mecanique,Sterling Vineyards,California Science Center,San Diego Zoo Safari Park,Haight-Ashbury,Battleship USS Iowa BB-61,Petersen Automotive Museum,Golden Gate Park,Disneyland Park,Ronald Reagan Presidential Library and Museum,Balboa Island Ferry,Walt Disney Family Museum,Children's Pool,Point Loma,Knott's Berry Farm,La Jolla Cove,Hollywood,Old Town San Diego,Aquarium of the Bay,San Francisco Museum of Modern Art (SFMOMA),South Carlsbad State Beach,Zabriskie Point,Julia Pfeiffer Burns State Park,Mt. Soledad National Veterans Memorial,Universal Studios Hollywood,Third Street Promenade,Maritime Museum of San Diego,California State Capitol Museum,Aquarium of the Pacific,Artist's Drive,Norton Simon Museum,Old Sacramento,Hearst Castle,Alcatraz Island,The Getty Center,Lombard Street,Monterey Bay Aquarium,Palace of Fine Arts Theatre,Hollywood Sign,Carmel River State Beach,Legion of Honor,Pismo Pier,Balboa Park,Griffith Observatory,Bixby Bridge,Old Town San Diego State Historic Park,Santa Barbara County Courthouse,Cannery Row,West Cliff Drive,Hollywood Walk of Fame,Manhattan Beach,Mendocino Coast Botanical Gardens,Pacific Coast Highway,Elephant Seal Rookery,Ghirardelli Square,Six Flags Magic Mountain,Yosemite Valley,The Queen Mary,Crystal Cove State Park,Torrey Pines State Natural Reserve,Jedediah Smith Redwoods State Park,Natural History Museum of Los Angeles County,Twin Peaks,Olvera Street,Old Mission Santa Barbara,Downtown Disney,Exploratorium,Newport Beach,Citadel Outlets,Seventeen Mile Drive,SeaWorld,Rodeo Drive,Venice Beach,Vernal Fall,The Gondola at Heavenly,Half Dome,Moro Rock,The Grove,Old Town Temecula,Union Station,LEGOLAND California,,,,,,,,,,,,
music,Oceanside Pier,Staples Center,Grace Cathedral,Fisherman's Wharf,Little Italy,Santa Cruz Wharf,Dodger Stadium,Monterey Bay,Mission San Juan Capistrano,Balboa Island,Disney California Adventure Park,Griffith Park,Torrey Pines Gliderport,Heisler Park,Old Fisherman's Wharf,Hollywood Bowl Museum,Dante's View,Venice Beach Boardwalk,Santa Monica Bay,Chinatown,Universal CityWalk Hollywood,San Francisco Bay Bridge,Santa Barbara Zoo,Yosemite Falls,Cable Cars,Santa Cruz Beach Boardwalk,Mission Beach,Union Square,Los Angeles County Museum of Art,Walt Disney Concert Hall,Calico Ghost Town,Presidio of San Francisco,26-Mile Bike Path,Sundial Bridge,Stearns Wharf,California Academy of Sciences,Asian Art Museum,Petco Park,"The Huntington Library, Art Collections and Botanical Gardens",Lands End,VillageFest,Huntington Beach Pier,Hollywood Boulevard,San Francisco Bay,Coronado Island,Stanford University,Marin Headlands,State Street,Palm Springs Air Museum,La Jolla Shores Park,Santa Monica Pier,de Young Museum,Madame Tussauds Hollywood,Painted Ladies,Birch Aquarium at Scripps,Musee Mecanique,Sterling Vineyards,San Diego Zoo Safari Park,Haight-Ashbury,Petersen Automotive Museum,Golden Gate Park,Irvine Spectrum Center,Ronald Reagan Presidential Library and Museum,Walt Disney Family Museum,Knott's Berry Farm,Hollywood,Old Town San Diego,San Francisco Museum of Modern Art (SFMOMA),Alamo Square,Universal Studios Hollywood,Third Street Promenade,California State Capitol Museum,Aquarium of the Pacific,Old Sacramento,Pier 39,Hearst Castle,The Getty Center,Monterey Bay Aquarium,Palace of Fine Arts Theatre,Santa Monica State Beach,Legion of Honor,Pismo Pier,Balboa Park,Old Town San Diego State Historic Park,Santa Barbara County Courthouse,Redondo Beach Pier,Cannery Row,West Cliff Drive,Hollywood Walk of Fame,Manhattan Beach,Mendocino Coast Botanical Gardens,Ghirardelli Square,Six Flags Magic Mountain,The Queen Mary,Venice Canals Walkway,Natural History Museum of Los Angeles County,Olvera Street,Old Mission Santa Barbara,Downtown Disney,Exploratorium,Citadel Outlets,Seventeen Mile Drive,SeaWorld,Rodeo Drive,Venice Beach,The Gondola at Heavenly,The Grove,Old Town Temecula,Seaport Village,Union Station,LEGOLAND California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amusement park,Calico Ghost Town,Balboa Park,Santa Cruz Wharf,Fisherman's Wharf,Old Town San Diego State Historic Park,Redondo Beach Pier,Disneyland Park,Balboa Island,Irvine Spectrum Center,Disney California Adventure Park,Balboa Island Ferry,Pacific Coast Highway,Torrey Pines Gliderport,Walt Disney Family Museum,"The Huntington Library, Art Collections and Botanical Gardens",Six Flags Magic Mountain,Knott's Berry Farm,Lands End,Six Flags Discovery Kingdom,The Queen Mary,La Brea Tar Pits and Museum,Hollywood,Santa Monica Bay,Chinatown,South Carlsbad State Beach,Universal CityWalk Hollywood,Universal Studios Hollywood,Santa Barbara Zoo,Marin Headlands,Downtown Disney,Newport Beach,Aquarium of the Pacific,Cable Cars,Santa Cruz Beach Boardwalk,SeaWorld,Artist's Drive,Santa Monica Pier,Cabrillo National Monument,Mission Beach,Coronado Bridge,Pier 39,Rodeo Drive,Hearst Castle,Pismo Pier,San Diego Zoo,The Gondola at Heavenly,The Grove,Sterling Vineyards,San Diego Zoo Safari Park,Old Town Temecula,Santa Monica State Beach,Union Station,LEGOLAND California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mexican ,de Young Museum,Staples Center,Old Town San Diego State Historic Park,Living Desert Zoo & Gardens,Olvera Street,Six Flags Discovery Kingdom,Old Town Temecula,Union Station,Irvine Spectrum Center,Old Town San Diego,The Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
