performance,largest living,largest living,living roof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restaurant & food,hot dogs,hot dog,hot dogs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wines,mondavi wines,terrace tasting,sattui wines,wine tastings,napa sonoma,v sattui,sparkling wines,taste wines,domaine carneros,cheese bread,wine cheese,sattui winery,taste wine,beer wine,di amorosa,wines taste,wineries napa,winery napa,bottles wine,wine tasting,castello di,robert mondavi,bottle wine,wines delicious,mondavi wines,wine club,wines tasted,sterling vineyards,chowder bread,mondavi winery,wine beer,dessert wines,sparkling wine,cheese plate,burger fries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shopping,shirt shops,department stores,chocolate sundae,record stores,ghirardelli chocolate,jewelry clothing,shops restaurants,apple store,ice cream,boutique shops,vintage clothing,shops selling,coffee shops,quirky shops,bars restaurants,specialty shops,candy store,cheap souvenirs,variety stores,brand stores,stores selling,shops browse,chocolate store,clothing stores,antique stores,shop dine,candy stores,outlet stores,selling stuff,shops cafes,snack bars,outlet mall,touristy shops,items sale,chain stores,candy shops,coffee shop,stalls selling,souvenir stores,retail stores,specialty stores,retail shops,bars cafes,shops eateries,souvenir shops,chocolate factory,selling souvenirs,vendors selling,restaurants bars,retail outlets,shirt shops,chocolate ice,stores restaurants,antique shops,citadel outlets,souvenir shop,candy shop,,,,,,,,,,,,,,,,,,,,,,,,
ocean view,pacific coast,rugged coastline,east west,pacific ocean,coastal highway,pacific coast,west coast,east coast,coast highway,west cliff,pacific grove,pacific coastline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
animals,bird eye,jelly fish,sharks rays,shark tank,touch tanks,sharks penguins,birds flying,fish sharks,rays sharks,shark feeding,touch tank,bird eye,birds eye,touch pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural view,armstrong woods,cypress trees,massive trees,tall trees,giant redwoods,general grant,cypress tree,majestic redwoods,plants trees,sherman tree,pine trees,general sherman,muir woods,redwood trees,majestic trees,armstrong redwood,sequoia trees,flowers trees,armstrong woods,giant trees,coastal redwoods,trees plants,john muir,giant sequoias,armstrong redwoods,redwood forest,giant forest,giant sequoia,trees majestic,giant redwood,sequoia tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
museum,maritime museum,art museum,railroad museum,automotive museum,museum tells,deyoung museum,norton simon,maritime museum,auto museum,simon museum,science museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
theater,greek theater,chinese theatre,chinese theater,movie theaters,greek theatre,movie theatre,greek theater,movie theater,arts theatre,imax movie,imax theater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gardens,tea gardens,botanical gardens,japanese garden,rose garden,botanical garden,sculpture gardens,japanese gardens,garden japanese,tea gardens,flower garden,cactus garden,japanese tea,rose gardens,sculpture garden,tea garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rock climbing ,rock face,moro rock,rock formation,rock climbers,rock climbing,rock formations,granite rock,cliff face,edge cliff,rock face,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biking,ride bikes,renting bike,bikes rode,renting bikes,bike rental,rent bikes,hire bikes,rented bikes,bike skate,hired bikes,bikes pedestrians,ride bikes,ride bike,bike riding,rode bikes,rent bike,riding bike,bike ride,rented bike,riding bikes,bike riders,rent bicycles,hire bike,hired bike,bike rentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beach,manhattan beach,sandy beach,venice boardwalk,newport beach,huntington beach,redondo beach,venice beach,laguna beach,moonstone beach,pismo beach,sandy beaches,manhattan beach,beach volleyball,muscle beach,pismo pier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vintage aircraft,vintage planes,vintage aircraft,vintage planes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concert,organ concert,concert halls,organ concert,concert venue,concert hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surfing,hang gliders,watch waves,watching gliders,hang gliders,watch surfers,watch gliders,watching surfers,watch sunset,watching waves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
car rental,rented car,rented car,car rental,rental car,hire car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
animals,giraffe feeding,dolphin show,planetarium show,shark tank,orca encounter,giraffe feeding,effects show,shark feeding,touch tank,feeding giraffe,baby giraffes,feed giraffe,dolphin orca,baby animals,orca show,lion show,feed giraffes,feed animals,sharks penguins,feeding giraffes,bird show,fed giraffes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restaurant & food,italian restaurant,food stands,drinks snacks,restaurant bar,chicken dinner,junk food,italian restaurant,dining choices,cheese bread,lunch snack,lunch snacks,sweet treats,mexican restaurant,snack bar,food choices,craft beer,ate dinner,bar grill,food drinks,beer selection,italian food,chowder bread,wine beer,dessert wines,ate restaurant,yummy food,burger fries,food vendors,food booths,grab snack,food beverage,food drink,beer wine,mediocre food,cup coffee,food beverages,food options,food trucks,snack shack,mexican food,ruby diner,wines delicious,restaurant choices,food outlets,sports bar,food stalls,clam chowder,food court,ate lunch,ruby restaurant,cheese plate,food offerings,snacks drinks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peaceful serene,peaceful serene,quiet peaceful,peace quiet,calm serene,calm relaxing,calm peaceful,peaceful tranquil,peaceful relaxing,peaceful serene,quiet serene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surfing,swimmers surfers,sun surf,surfers fishermen,basketball courts,catching waves,playing sand,volleyball players,cliff face,hitting rocks,surfers volleyball,swimming surfing,crashing waves,boogie boarding,boogie boards,edge cliff,playing volleyball,paddle boarding,waves roll,crashing rocks,waves crashing,swim surf,boarding surfing,waters edge,surfing boogie,soft sand,gentle waves,surfing waves,surfing swimming,waves surfers,play volleyball,swimmers surfers,sand surf,dolphins swimming,sand soft,volleyball courts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highly recommended,strongly suggest,highly recommended,strongly recommended,strongly recommend,highly recommend,highly suggest,strongly suggest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arts,fine art,palace fine,fine art,fine arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
music,singing dancing,listening music,band playing,singing dancing,musicians playing,music dancing,listen music,music playing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amusement park,carnival rides,carnival rides,amusement rides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mexican,authentic mexican,authentic mexican,traditional mexican,mexican cuisine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural view,nature lovers,nature lover,nature lovers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
architecture,architecture design,roman style,engineering marvel,victorian architecture,architectural details,ancient roman,architecture design,greek roman,western style,spanish style,roman villa,interior design,architectural wonder,style architecture,frank gehry,spanish architecture,architectural styles,architectural design,piece architecture,piece engineering,victorian style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pier,oceanside pier,pismo beach,pismo pier,oceanside pier,crystal pier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
good for pictures,photo op,picture opportunities,photo opportunities,photo shoot,photo shots,photo ops,photo op,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural view,spring flowers,flowers bloom,trees plants,flowers plants,plants trees,desert plants,pine trees,spring flowers,plants flowers,flowers trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
good for pictures,picture taking,taking photos,taking selfies,taking pictures,taking pics,picture taking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pools,indoor pool,indoor pool,outdoor pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parks,ball park,ball park,petco park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arts,art lovers,art lovers,art lover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ocean view,overlooking ocean,cliffs overlooking,overlooking pacific,pacific ocean,pacific coastline,overlooking ocean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whale watching,whale watch,whale watch,whale watching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sea creature,whale watch,whale watch,whale watching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
animals,whale watch,whale watch,whale watching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mountain view,hill overlooking,hill overlooking,sits atop,atop hill,nob hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural view,state parks,state parks,national parks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parks,state parks,state parks,national parks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water fountain,water fountain,water fountain,water fountains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural view,palm trees,palm desert,palm tree,palm trees,palm oasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exhibitions,animal exhibits,lego displays,animal exhibits,interactive exhibits,interactive displays,dinosaur exhibits,hands exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gardens,chinese garden,chinese garden,japanese chinese,chinese gardens,chinese japanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sea creature,saw dolphins,saw dolphins,saw whales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
animals,saw dolphins,saw dolphins,saw whales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
historical site,historical site,historic site,historical site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amusement park,amusement park,theme park,amusement park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amusement park,amusement parks,amusement parks,theme parks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
performance,live performances,live performances,live music,live entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shopping,cute shops,quaint shops,cute shops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cruise,harbor cruise,harbor cruise,bay cruise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
theater,imax movies,chinese theater,movie theaters,movie theatre,imax movies,movie theater,imax movie,imax theater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural view,kelp forest,redwood forest,giant trees,giant forest,giant redwoods,giant sequoia,kelp forest,giant redwood,giant sequoias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
animals,animals natural,natural habitat,animals natural,natural environment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
historical site,piece history,learning history,piece history,learn history,history lesson,history buffs,history buff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shopping,outdoor shopping,shopping eating,shopping dining,outdoor mall,outdoor shopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sea creature,elephant seal,otters sea,elephant seal,seals pelicans,otters seals,seal lions,lions seals,dolphins whales,otters dolphins,seals babies,seal pups,dolphins seals,pelicans sea,whales dolphins,seagulls pelicans,sea otters,elephant seals,seals pups,sea lions,seal rookery,dolphins swimming,seals laying,seals sea,seals otters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
animals,elephant seal,otters sea,elephant seal,seals pelicans,otters seals,seal lions,lions seals,dolphins whales,otters dolphins,seals babies,seal pups,dolphins seals,pelicans sea,whales dolphins,seagulls pelicans,sea otters,elephant seals,seals pups,sea lions,seal rookery,dolphins swimming,seals laying,seals sea,seals otters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
historical site,war memorial,tribute veterans,tribute served,war memorial,veterans memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amusement park,roller coasters,thrill rides,coaster ferris,ferris wheel,roller coasters,roller coaster,wooden roller,thrilling rides,wooden coaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aquarium,aquarium planetarium,aquarium planetarium,planetarium aquarium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restaurant & food,fish tacos,fresh seafood,fish chips,fish tacos,fresh fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restaurant & food,hot chocolate,hot chocolate,hot fudge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
performance,shows planetarium,planetarium show,shows planetarium,planetarium shows,effects show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
golf,golf course,golf courses,golf course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural view,oasis desert,desert oasis,oasis desert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
animals,wild animals,wild animals,wild animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restaurant & food,temecula olive,temecula olive,slice pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shopping,shopping center,shopping centre,shopping center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ferry,ferry landing,ferry boat,ferry landing,island ferry,ferry sausalito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amusement park,disney universal,universal studios,universal citywalk,disney universal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parks,national park,national park,state park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural view,national park,national park,state park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amusement park,disney universal,universal studios,universal citywalk,disney universal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restaurant & food,fish tacos,fresh seafood,fish chips,fish tacos,fresh fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mexican,mexican culture,mexican american,mexican culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
