case_id,institute,program,degree,season,decision,notification,result_date,undergrad gpa,gre_v,gre_q,gre_w,gre_subject,status,submit_date,notes
545353,Princeton University,Anthropology,PhD,F18,,via Other,4 Feb 2018,,,,,,I,4 Feb 2018,"To the only Princeton acceptance poster, c o n g r a t s!! Would you mind sharing your background and credentials? :)"
545352,Cornell  University,Aerospace And Mechanical Engineering,PhD,F18,Rejected,via E,4 Feb 2018,,,,,,I,4 Feb 2018,"Expected, Bad GRE but high GPA"
545349,Rice Ｕniversity,(Sociocultural) Anthropology,PhD,F18,Rejected,via E,28 Jan 2018,,,,,,I,4 Feb 2018,Email from DGS
545346,University Of Oregon,(Sociocultural) Anthropology,PhD,F18,Accepted,via E,30 Jan 2018,n/a,153.0,155.0,4.5,n/a,I,4 Feb 2018,"Very nice, personalized email from POI. A few minutes later received letter from Director recommending me for admission with a funding package!"
545344,"(University Of California, Los Angeles (UCLA)",(Sociocultural) Anthropology,Other,F18,,via E,4 Feb 2018,,,,,,,4 Feb 2018,Response to the poster below: I wasn't contacted or interviewed before this. Received an email asking for my official transcripts to receive an official letter.
545340,California Institue Of Technology (Caltech),ACM,PhD,F18,,via E,20 Jan 2018,,,,,,I,4 Feb 2018,
545338,University Of Texas At Austin (UT Austin),Mechanical Engineering,PhD,F18,Accepted,via E,23 Jan 2018,3.80,158.0,164.0,3.5,n/a,A,4 Feb 2018,Offered admission with first year funding + invite to recruitment weekend. bioengineering area. lots of research experience
545314,Stanford GSB,Accounting,PhD,F18,,via Other,4 Feb 2018,,,,,,O,4 Feb 2018,"Does anyone have any info about Stanford GSB accounting? Whether they have made calls? What about MIT? 
"
545311,(Arizona State University) ASU Tempe,Advanced Mechanical Engineering,Masters,F18,Accepted,via Website,30 Jan 2018,3.30,161.0,165.0,5.0,n/a,I,4 Feb 2018,Nothing about funding though. Won't go if not funded.
545308,Brown University,(Sociocultural) Anthropology,PhD,F18,Accepted,via Phone,4 Feb 2018,,,,,,U,4 Feb 2018,Phonecall from Director of Grad Program. Was not interviewed or contacted prior to this.
545304,Texas A&M (Mays School Of Business),Business Administration (Management) / Finance,PhD,F18,,via E,4 Feb 2018,,,,,,I,4 Feb 2018,"To the poster below asking for UT, I received an interview last week... went pretty well... was quite a lengthy interview...they said they're interviewing about 10 other people and that they've sent out most of the interview invites... I won't put too much hope on it if you still haven't received an interview yet... perhaps pray that you'll be on the waitlist..."
545293,"University Of Michigan, Ann Arbor",Biostatistics,PhD,F18,,via Phone,4 Feb 2018,,,,,,I,4 Feb 2018,
545291,"University Of Michigan, Ann Arbor",Biostatistics,PhD,F18,,via Phone,4 Feb 2018,,,,,,I,4 Feb 2018,Without previous notification
545285,The University Of Arizona,Sociology,PhD,F18,Accepted,via E,3 Feb 2018,n/a,161.0,166.0,4.0,n/a,I,4 Feb 2018,Informal notification from the director of graduate studies.
545271,"(University Of California, Los Angeles (UCLA)",Education (Higher Education),Masters,F18,Accepted,via E,4 Feb 2018,,,,,,A,4 Feb 2018,
545269,"University Of Michigan, Ann Arbor",Information Science,PhD,F18,,via E,1 Feb 2018,n/a,154.0,169.0,4.0,n/a,I,4 Feb 2018,
545267,University Of Texas At Austin (UT Austin),Journalsim,PhD,F18,Rejected,via Website,4 Feb 2018,,,,,,U,4 Feb 2018,Just checked my status and found out my application is denied.
545264,"Courant Institute Of Mathematical Sciences, NYU",(Applied Mathematics),PhD,F18,Accepted,via E,2 Feb 2018,3.98,169.0,165.0,4.0,750,A,4 Feb 2018,
545261,"University Of Arizona (Tucson, AZ)",Health Behavior Health Promotion,Other,F18,Accepted,via E,3 Feb 2018,3.65,161.0,153.0,4.5,n/a,A,4 Feb 2018,Master's to Doctoral program
545251,The University Of Arizona,Sociology,PhD,F18,Accepted,via E,4 Feb 2018,n/a,163.0,165.0,4.5,n/a,I,4 Feb 2018,Invited for open house
545245,The University Of Southern California (USC),Annenberg School Of Communication,PhD,F18,Accepted,via E,3 Feb 2018,,,,,,A,4 Feb 2018,
545244,‌Boston University,Art-MFA,MFA,F18,,via E,2 Feb 2018,,,,,,A,4 Feb 2018,In painting
545240,"University Of Michigan, Ann Arbor",A.M Statistics,Masters,F18,,via E,4 Feb 2018,,,,,,I,4 Feb 2018,
545239,Brown Univerisity,Anthroplogy,PhD,F18,,via E,4 Feb 2018,,,,,,I,4 Feb 2018,"Kind email from director of graduate studies saying I'm on a ""very short waitlist"", without mentioning any numbers. I appreciate the email although personally slightly unnerved since I reckon I had a sustained and substantive correspondence with the POI over the past few months."
545238,Princeton University,(Sociocultural) Anthropology,PhD,F18,Rejected,via E,2 Feb 2018,,,,,,A,4 Feb 2018,
545237,Cornell  University,Annenberg Communication,PhD,F18,Rejected,via E,2 Feb 2018,,,,,,A,4 Feb 2018,
545224,University Of Arizona,Business  (Finance),PhD,S18,,via Phone,4 Feb 2018,,,,,,U,4 Feb 2018,"To the poster below, yes I already been accepted, I am a Korean."
545220,Auburn University,Applied Behavior Analysis,Masters,F18,Rejected,via E,29 Jan 2018,3.71,149.0,146.0,4.0,n/a,A,4 Feb 2018,
545214,UCSD,Advanced Mechanical Engineering,PhD,F18,,via Other,4 Feb 2018,,,,,,,4 Feb 2018,"poster from UCSD, Congrats! when exactly did you get your acceptance letter and via what?
"
545203,University Of Texas At Austin (UT Austin),Asian Cultures And Languages,PhD,F18,Accepted,via E,24 Jan 2018,,,,,,I,4 Feb 2018,
545192,‌Boston College,"Affective,  Social,  And Cognitive Psychology",PhD,F18,Rejected,via Postal,4 Feb 2018,3.58,167.0,155.0,4.5,n/a,U,4 Feb 2018,"Was a little confused when professors at BC (potential POIs) didn't respond to my emails. Turns out I'd been sending them emails after my rejection letter (dated 01/30/2018) had been sent out. My bad for waiting until then to email them too, I guess."
545180,Brown University,Anthropolgoy,PhD,F18,,via E,3 Feb 2018,,,,,,I,3 Feb 2018,"same message as previous poster--friendly email from admin about being on ""very short wait list"""
545178,University Of Hartford,Adult Clinical Psychology (PsyD),Other,F18,Accepted,via Phone,3 Feb 2018,,,,,,,3 Feb 2018,Accepted over the phone by the program director
545174,"The University Of California, Santa Cruz (UCSC)",Affect And Social Psychology,PhD,F18,,via E,3 Feb 2018,,,,,,A,3 Feb 2018,"To the UCSC Social Psych posters, would you mind sharing your POI's initials...?"
545169,Penn State (Pennsylvania State University),Advanced Chemical Engineering,PhD,F18,,via Other,3 Feb 2018,,,,,,U,3 Feb 2018,Have any more PhD applicants heard back?
545168,"Peabody College, Vanderbilt University",Educational Leadership - Higher Education Administration,Other,F18,Accepted,via E,2 Feb 2018,3.74,159.0,151.0,4.0,n/a,A,3 Feb 2018,
545161,George Washington University,American Studies,PhD,F18,,via E,3 Feb 2018,n/a,170.0,154.0,5.5,n/a,A,3 Feb 2018,
545158,"Northwestern University, McCormick School Of Engineering",Advanced Mechanical Engineering,PhD,F18,,via Other,3 Feb 2018,,,,,,A,3 Feb 2018,To the poster below with acceptance from northwestern. When did you get your  acceptance letter?
545153,"University Of Michigan, Ann Arbor",Materials Science And Engineering,PhD,F18,,via E,30 Jan 2018,,,,,,A,3 Feb 2018,To the person who asked about my acceptance to MSE program at Umich...I made a typo..i actually heard back Jan 30th not Feb 1st but I didnt know how to change it...and I'd guess that most of PhD positions have been given out but the visit weekend is March 8-10 so its definitely not over yet! I did not contact any professor so I'd probably wait another week at least before contacting someone if you wanted to
545151,University Of Colorado Denver - Anschutz Medical Campus,BBS - Microbiology,PhD,F18,Rejected,via E,1 Feb 2018,3.17,147.0,157.0,3.0,n/a,A,3 Feb 2018,4.00 GPA during masters. 3 years research experience. 1st author publication in process.
545148,The University Of Toronto,Anthropology,PhD,F18,Accepted,via E,2 Feb 2018,,,,,,O,3 Feb 2018,Received letter recommending me for admission. Beyond thrilled!
545147,George Washington (GWU),American Studies,PhD,F18,,via E,3 Feb 2018,,,,,,A,3 Feb 2018,
545145,George Washington University,American Studies,PhD,F18,,via E,3 Feb 2018,,,,,,A,3 Feb 2018,
545144,Politecnico Di Milano (Polimi),ARCHITECTURAL ENGINEERING,Masters,F18,Accepted,via Website,2 Feb 2018,,,,,,I,3 Feb 2018,Admitted in both chosen programs (Campus Lecco
545141,Univeristy Of Southern California,Biology Of Aging,PhD,F18,Accepted,via Website,3 Feb 2018,,,,,,A,3 Feb 2018,
545140,Brown,Anthropology,PhD,F18,,via E,3 Feb 2018,3.97,168.0,163.0,5.5,n/a,A,3 Feb 2018,"Nice email from POI letting me know that I'm on a ""very short"" waitlist, nothing about the actual number or my position."
545138,Brooklyn LIU,Adult Clinical Psychology,PhD,F18,,via Other,3 Feb 2018,,,,,,A,3 Feb 2018,Does anyone know if LIU has sent out all interview invites for their PhD program? Or when the interviews are gonna be held?
545133,The University Of Toronto,(Sociocultural) Anthropology,PhD,F18,Accepted,via E,2 Feb 2018,,,,,,O,3 Feb 2018,
545128,University Of Minnesota - Twin Cities (UMN),(Sociocultural) Anthropology,PhD,F18,,via E,3 Feb 2018,3.97,163.0,155.0,5.5,n/a,A,3 Feb 2018,"Personalized email from DGS, super kind."
545125,Arcadia University,Genetic Counseling,Masters,F18,,via E,3 Feb 2018,,,,,,A,3 Feb 2018,
545109,"UCSD (University Of California, San Diego)",Department Of Political Science (American),PhD,F18,Rejected,via E,3 Feb 2018,,,,,,,3 Feb 2018,Already accepted to my top choice...2a/2r/1w/8p
545107,University Of Pittsburgh,History Of Art And Architecture,PhD,F18,Accepted,via Phone,2 Feb 2018,,,,,,A,3 Feb 2018,"Informal acceptance via phone call from POI. Offered funding: tuition remission, stipend, and consideration for an additional fellowship. Invited to visit the department at their expense."
545099,University Of Minnesota - Twin Cities (UMN),American History,PhD,F18,Rejected,via E,3 Feb 2018,3.96,165.0,0.0,0.0,n/a,A,3 Feb 2018,Applied last year when I was a significantly inferior candidate and they wait-listed me. Odd.
545086,Emory (Laney Graduate School),African History,PhD,F18,,via E,1 Jan 2018,,,,,,A,3 Feb 2018,
545085,Michigan State  University (MSU),African History,PhD,F18,Rejected,via E,26 Jan 2018,,,,,,A,3 Feb 2018,
545082,University Of Chicago,SALC (South Asian Languages And Civilizations),PhD,F18,Rejected,via Website,2 Feb 2018,,,,,,A,3 Feb 2018,"I never got an email, just checked the website."
545081,UC Berkeley,Astronomy & Astrophysics,PhD,F18,Accepted,via Phone,2 Feb 2018,3.78,165.0,170.0,5.5,880,A,3 Feb 2018,
545079,LaSalle University,Abnormal & Clinical Psychology,Other,F18,,via E,2 Feb 2018,,,,,,A,3 Feb 2018,Psy.D program
545076,(Arizona State University) ASU Tempe,Material Science & Engineering,Masters,F18,Accepted,via E,3 Feb 2018,,,,,,I,3 Feb 2018,
545059,"University Of Michigan, Ann Arbor",Education (Higher Education),PhD,F18,Rejected,via Website,3 Feb 2018,n/a,158.0,164.0,4.5,n/a,A,3 Feb 2018,"Happened to check new student portal.  Saw a ""Decision Status"" link that wasn't there before.  Followed it and there was a generic message that I wasn't selected."
545055,Northwestern University,African American Studies,PhD,F18,Rejected,via E,3 Feb 2018,,,,,,A,3 Feb 2018,"Not too surprising, they hardly accept anyone"
545053,ีUniversity Of Wisconsin - Madison,MFA Studio Art Painting,MFA,F18,Rejected,via E,2 Feb 2018,,,,,,A,3 Feb 2018,
545052,Yale  University,MFA Studio Art Painting,MFA,F18,Rejected,via E,2 Feb 2018,,,,,,A,3 Feb 2018,
545050,Gallaudet Univeristy,Audiology  (Au.D.),Other,S18,,via Phone,2 Feb 2018,3.38,152.0,150.0,4.5,n/a,O,3 Feb 2018,Text and email from Dr. Kwon stating that i had been selected to interview February 16th! SO EXCITED! My first choice!
545046,Northwestern University,African & African American Studies,PhD,F18,Rejected,via E,3 Feb 2018,3.50,161.0,0.0,4.5,n/a,A,3 Feb 2018,
545042,"University Of Michigan, Ann Arbor",Joint Program In English And Education,PhD,F18,Accepted,via Phone,3 Feb 2018,,,,,,A,3 Feb 2018,"Beyond excited. 5 years of funding + health insurance and some conference funding. I have teaching experience from my MA and have presented at both national and regional conferences. I also have foreign language proficiency. And, my GRE scores were poor, so apparently it was not a deal breaker!"
545041,Northwestern University,African American Studies,PhD,F18,Rejected,via E,3 Feb 2018,,,,,,A,3 Feb 2018,
545035,University Of Washington St Louis (WUSTL),(Sociocultural) Anthropology,PhD,F18,,via E,3 Feb 2018,,,,,,A,3 Feb 2018,"Had a skype interview first, contacted by POI"
545034,Clemson University,American History,Masters,F18,Rejected,via E,3 Feb 2018,,,,,,A,3 Feb 2018,
545028,"Northwestern University, McCormick School Of Engineering",Advanced Mechanical Engineering,PhD,F18,Accepted,via Website,3 Feb 2018,,,,,,U,3 Feb 2018,"strong LORs, ~2year research experience w/o publication, currently undergrad at Northwestern"
545021,Texas A&M (Mays School Of Business),Business Administration (Management)/  Finance,PhD,F18,,via Other,3 Feb 2018,,,,,,I,3 Feb 2018,Has anyone heard from this program?
545020,University Of Colorado Boulder (CU Boulder),Aerospace Engineering,PhD,F18,,via E,2 Feb 2018,3.56,159.0,170.0,4.5,n/a,A,3 Feb 2018,"Invited to open house. Aerospace engineering undergrad, 2 years research experience, 2 2nd author publications, solid recommendations from familiar professors."
545018,Washington University In St. Louis,Anthropology (sociocultural),PhD,F18,,via E,2 Feb 2018,,,,,,A,3 Feb 2018,E-mail from POI for campus visit from 2/12 - 2/14. Got the sense that interviewees from all fields would be there but can't say for sure.
545017,Yale,"Art Studio,  Photography MFA",MFA,F18,,via Website,2 Feb 2018,,,,,,A,3 Feb 2018,
545011,The University Of Arkansas,Abnormal & Clinical Psychology,PhD,F18,,via Other,3 Feb 2018,,,,,,,3 Feb 2018,"Arkansas and LSU posters, do you mind putting your POI initials? Thanks!"
545009,The University Of Cambridge,"European,  Latin American And Comparative Literatures And Cultures",Masters,F18,Accepted,via E,26 Jan 2018,,,,,,I,3 Feb 2018,
545007,Ryerson Uniersity,Data Science And Analytics,Masters,F18,,via Other,3 Feb 2018,,,,,,I,3 Feb 2018,To the poster below. Any idea when we can expect a Result for this program?
545006,The University Of Arkansas  - Fayetteville,Political Science,Masters,F18,Accepted,via E,19 Jan 2018,3.66,158.0,148.0,4.5,n/a,A,3 Feb 2018,
545000,University Of San Francisco (UCSF),Urban And Public Affairs,Masters,F18,Accepted,via Phone,2 Feb 2018,,,,,,A,3 Feb 2018,"Below avg GRE (VERY LOW lol), but a lot of research experience and strong personal statement/GPA"
544997,The University Of Arkansas  - Fayetteville,Clinical Psychology,PhD,F18,Accepted,via Phone,25 Jan 2018,,,,,,A,3 Feb 2018,
544980,The University Of Arizona,Business  (Finance)- Finance,PhD,F18,,via E,3 Feb 2018,,,,,,I,3 Feb 2018,Has anyone heard back after the initial interview?
544977,Northwestern University,Applied Physics,PhD,F18,,via E,2 Feb 2018,,,,,,I,3 Feb 2018,
544967,The University Of Arizona,Geology,PhD,F18,,via E,1 Feb 2018,,,,,,,3 Feb 2018,"Notified that I'm a finalist for program admission, invited to prospective students' weekend in March"
544964,Idaho State University,Anthropology,Masters,F18,Accepted,via E,2 Feb 2018,3.89,147.0,155.0,4.0,n/a,A,3 Feb 2018,Email to check portal
544959,Florida Atlantic Univeristy FAU,Graduate Training Program In Neuroscience,PhD,F18,,via E,2 Feb 2018,,,,,,A,3 Feb 2018,
544956,University Of Texas At Austin,Musicology,PhD,F18,Accepted,via E,3 Feb 2018,,,,,,A,3 Feb 2018,
544949,Princeton University,Astrophysical Sciences,PhD,F18,Rejected,via E,30 Jan 2018,3.92,162.0,170.0,5.0,950,I,3 Feb 2018,3 years experience. 1 published and 2 in review. Strong LOR. But it didnt help.
544948,University Of Kentucky,Applied Physics (Medical Physics),Masters,F18,,via E,2 Feb 2018,,,,,,A,3 Feb 2018,Invited for interview
544946,University Of Minnesota,"Health Services Research,  Policy,  And Administration",PhD,F18,,via Phone,2 Feb 2018,,,,,,I,3 Feb 2018,"Maureen from admissions is an angel.rnrnIf you haven't received an offer yet, you're likely waitlisted or rejected."
544932,UC Santa Cruz (UCSC),Affect/Social Psychology,PhD,F18,Rejected,via E,30 Jan 2018,,,,,,A,3 Feb 2018,informal rejection email from POI
544930,"University Of Michigan, Ann Arbor",(Social/Personality) Psychology,PhD,F18,Rejected,via E,3 Feb 2018,,,,,,A,3 Feb 2018,
544929,La Salle University,Clinical Psychology PsyD Child And Adolescent Track,Other,F18,,via E,2 Feb 2018,,,,,,,3 Feb 2018,
544923,University Of Waterloo,Applied Mathematics,PhD,F18,Accepted,via Website,2 Feb 2018,,,,,,I,3 Feb 2018,"37560 CAD/year funding including TA, RA, and university's scholarships.
My current major is Mechanical Engineering."
544922,Louisiana State University (LSU),Adult Clinical Psychology,PhD,F18,Accepted,via E,31 Jan 2018,,,,,,A,3 Feb 2018,
544921,Brown University,Anthropology,PhD,F18,Accepted,via Phone,2 Feb 2018,,,,,,A,3 Feb 2018,"official acceptance letter to come out next week, got a phone call from my POI!"
544905,School Of The Museum Of Fine Art (SMFA) Boston,Studio Art,MFA,F18,,via E,2 Feb 2018,,,,,,U,3 Feb 2018,
544904,Alfred University,Painting,MFA,F18,,via E,2 Feb 2018,,,,,,I,3 Feb 2018,
544903,Yale School Of Art,Painting,MFA,F18,,via E,2 Feb 2018,,,,,,I,3 Feb 2018,
544902,CalArts (California Institute Of The Arts),Art,MFA,F18,,via E,2 Feb 2018,,,,,,A,3 Feb 2018,
544900,CalArts (California Institute Of The Arts),Art,MFA,F18,,via E,2 Feb 2018,,,,,,I,3 Feb 2018,
544899,Maryland Institute College Of Art (MICA),Mount Royal Interdisciplinary Art,MFA,F18,,via E,2 Feb 2018,,,,,,U,3 Feb 2018,
544897,Yale School Of Art,Painting,MFA,F18,Rejected,via E,3 Feb 2018,,,,,,U,3 Feb 2018,that was fast...
544896,Art Institute Of Chicago (SAIC),M. Arch,Masters,F18,,via E,1 Feb 2018,,,,,,,3 Feb 2018,Best of luck to everyone else anxiously awaiting results!
544895,Art Institute Of Chicago (SAIC),M. Arch,Masters,F18,,via E,1 Feb 2018,,,,,,A,3 Feb 2018,Best of luck to everyone else anxiously awaiting results!
544892,UC San Diego (UCSD),Department Of Political Science (American),PhD,F18,Rejected,via E,3 Feb 2018,3.94,170.0,166.0,5.5,n/a,A,3 Feb 2018,0a/0w/2r/7p
544891,Princeton University,Department Of Political Science (American),PhD,F18,Rejected,via E,2 Feb 2018,3.94,170.0,166.0,5.5,n/a,A,3 Feb 2018,0a/0w/1r/8p
544887,(Arizona State University) ASU,Geological Sciences,PhD,F18,Accepted,via E,2 Feb 2018,,,,,,A,3 Feb 2018,"Notification was sent to my asu email, not the email I applied through."
544886,University Of Texas At Austin (UT Austin),Computer Sceince,PhD,F18,Rejected,via E,31 Jan 2018,,,,,,I,3 Feb 2018,
544885,Cornell  University,Aerospace & Mechanical Engineering,PhD,F18,Rejected,via E,3 Feb 2018,,,,,,U,3 Feb 2018,
544882,City University In New York (CUNY),Adult Clinical Psychology,PhD,F18,Rejected,via E,3 Feb 2018,3.82,151.0,158.0,4.5,n/a,A,3 Feb 2018,
544874,(Arizona State University) ASU Tempe,Computer Engineering (Computer Systems),Masters,F18,Accepted,via Website,2 Feb 2018,,,,,,I,3 Feb 2018,
544873,"University Of Michigan, Ann Arbor (Umich)",Biostatistics,PhD,F18,,via Phone,3 Feb 2018,,,,,,I,3 Feb 2018,just got a phone call without any previous notification…
544862,"University Of Michigan, Ann Arbor",Information,PhD,F18,,via Other,3 Feb 2018,,,,,,I,3 Feb 2018,"Has anybody received notification of when the School of Information will announce its results? Also, are interviews a formal part of the process?"
544861,University Of Texas At Austin (UT Austin),Educational Policy And Planning,Masters,F18,Accepted,via E,2 Feb 2018,,,,,,,3 Feb 2018,
544855,UCLA,Archaeology,PhD,F18,,via E,3 Feb 2018,,,,,,A,3 Feb 2018,Invited to prospective students week later this month
544851,The University Of Arizona,"""Physics""",PhD,F18,,via Other,3 Feb 2018,,,,,,O,3 Feb 2018,"To the person wondering why they didn't get into the program, you've already answered your own question with that note."
544850,UC Davis,Art History,Masters,F18,Accepted,via Phone,14 Jan 2018,,,,,,A,3 Feb 2018,"Called by POI, offered full funding and a stipend. Invited to attend a conference in early February."
544845,"University Of Michigan, Ann Arbor (Umich)",Finance,PhD,F18,,via E,3 Feb 2018,,,,,,I,3 Feb 2018,"Apart from 1 in the poster below, did anyone else receive an interview mail?"
544843,The University Of Arizona,"""Physics""",PhD,F18,Rejected,via E,2 Feb 2018,3.92,167.0,170.0,5.5,980,I,3 Feb 2018,Had 7 publications in well reputed journals. Internship in Germany and Switzerland. I don't what the grad committee was thinking..!! Motherfu**ers..!!
544825,Vanderbilt Peabody,Community Research And Action,PhD,F18,Rejected,via E,3 Feb 2018,,,,,,,3 Feb 2018,
544823,Yale  University,EALC (East Asian Languages And Cultures),PhD,F18,Rejected,via E,3 Feb 2018,,,,,,A,3 Feb 2018,"Email to check portal, a little painful. Have some other likely offers progressing, but sad."
544821,Yale  University,East Asian Languages And Literatures,PhD,F18,Rejected,via E,2 Feb 2018,,,,,,U,3 Feb 2018,
544819,University Of Minnesota - Twin Cities (UMN),Aerospace Engineering And Mechanics,Masters,F18,Accepted,via E,3 Feb 2018,3.54,155.0,156.0,4.5,n/a,A,3 Feb 2018,Had three internship positions.  Only two of which directly aerospace related. Volunteer experience but no real research experience. First year tuition and health insurance waved as well as 20K teaching assistantship.
544818,Boston University Pardee School Of Global Studies,International Affairs,Masters,F18,Accepted,via E,2 Feb 2018,,,,,,,3 Feb 2018,
544817,Cornell University,Mechanical And Aerospace Engineering (MAE),PhD,F18,Rejected,via E,2 Feb 2018,3.69,153.0,160.0,3.5,n/a,I,3 Feb 2018,"Contacted POI with medium response from his side. Decent GPA, German internship at TU9, good LOR's, medium GRE.....but anyways one of my ambitious choice.
1st rejection... 
I have received admit from University of Minnesota and waiting from others."
544811,Gatech (Georgia Tech),"ACO (Algorithm,  Combinatorics And Optimization)",PhD,F18,Accepted,via E,2 Feb 2018,,,,,,,3 Feb 2018,First admission for me as well! Through math department...
544808,The University Of Denver,"Advanced Standing,  MSW",Masters,F18,Accepted,via E,3 Feb 2018,,,,,,,3 Feb 2018,
544805,Michigan State  University,Applied Mathematics,PhD,F18,Accepted,via E,3 Feb 2018,,,,,,U,3 Feb 2018,Unofficial offer email from a professor
544803,"University Of Michigan, Ann Arbor",Developmental Psychology,PhD,F18,Rejected,via E,2 Feb 2018,,,,,,A,3 Feb 2018,
544796,Yale  University,Art History,PhD,F18,,via E,31 Jan 2018,,,,,,,3 Feb 2018,
544792,Yale Univeristy,2D Fine Art - Painting,Masters,F18,Rejected,via E,3 Feb 2018,,,,,,A,3 Feb 2018,
544785,Stanford University,Applied & Computational Mathematics,PhD,F18,Rejected,via E,3 Feb 2018,,,,,,A,3 Feb 2018,Congrats to those who got in! This seems like such a great program.
544784,Washington University In Saint Louis (WUSTL),Anthropology,PhD,F18,,via Other,3 Feb 2018,,,,,,A,3 Feb 2018,Does anyone know if they Interview sociocultural applicants and extend campus invitations separately from bioanth and archaeology? Or do they do everything at the same time?
544783,The University Of Colorado - Boulder,Aerospace Engineering Sciences,PhD,F18,,via E,2 Feb 2018,3.70,160.0,165.0,5.0,n/a,A,3 Feb 2018,"Invited to open house on March 9th. Mechanical Engineering undergrad, 2 years research experience"
544782,(Arizona State University) ASU,History,PhD,F18,Rejected,via E,2 Feb 2018,,,,,,I,3 Feb 2018,
544779,Cornell  University,Aerospace And Mechanical Engineering,PhD,F18,Rejected,via E,2 Feb 2018,,,,,,I,3 Feb 2018,
544769,The University Of New Mexico (UNM),Anthropology,PhD,F18,,via E,2 Feb 2018,,,,,,A,3 Feb 2018,POI emailed to say that the department is meeting next week to discuss admissions and funding.
